,Open,High,Low,Close,Volume,tomorrow,target,50MA,100MA,20MA,check50MA,check20MA,check100MA,score,Bitcoin,yesterday,change,trend20MA,trend50MA,trend100MA
2018-08-27,6700.0,6940.51,6646.5,6908.64,37747.078747,7076.11,1,6499.795454545455,6499.795454545455,6499.795454545455,1,1,1,0.68,41,40.0,1.0,43.45454545454545,43.45454545454545,43.45454545454545
2018-08-28,6907.26,7135.0,6860.0,7076.11,48352.917163,7031.22,0,6533.865833333333,6533.865833333333,6533.865833333333,1,1,1,0.0,54,41.0,13.0,43.25,43.25,43.25
2018-08-29,7077.0,7133.81,6912.34,7031.22,43252.487392,6984.84,0,6575.576923076923,6575.576923076923,6575.576923076923,1,1,1,0.0,44,54.0,-10.0,44.07692307692308,44.07692307692308,44.07692307692308
2018-08-30,7033.21,7063.63,6784.81,6984.84,44716.77462,7011.21,1,6608.122857142857,6608.122857142857,6608.122857142857,1,1,1,0.0,44,44.0,0.0,44.07142857142857,44.07142857142857,44.07142857142857
2018-08-31,6984.84,7089.0,6888.0,7011.21,40467.400638,7200.01,1,6633.2373333333335,6633.2373333333335,6633.2373333333335,1,1,1,0.0,43,44.0,-1.0,44.06666666666667,44.06666666666667,44.06666666666667
2018-09-01,7011.21,7275.0,7008.74,7200.01,40323.414093,7302.01,1,6656.860625,6656.860625,6656.860625,1,1,1,-0.765,45,43.0,2.0,44.0,44.0,44.0
2018-09-02,7201.57,7345.45,7127.0,7302.01,39814.840352,7263.02,0,6688.810588235294,6688.810588235294,6688.810588235294,1,1,1,0.0,41,45.0,-4.0,44.05882352941177,44.05882352941177,44.05882352941177
2018-09-03,7302.0,7338.28,7191.63,7263.02,32396.018371,7359.06,1,6722.877222222222,6722.877222222222,6722.877222222222,1,1,1,0.765,43,41.0,2.0,43.888888888888886,43.888888888888886,43.888888888888886
2018-09-04,7263.0,7410.0,7227.17,7359.06,35300.640518,6700.0,0,6751.305789473684,6751.305789473684,6751.305789473684,1,1,1,0.9419,46,43.0,3.0,43.8421052631579,43.8421052631579,43.8421052631579
2018-09-05,7359.05,7397.3,6682.0,6700.0,63715.256267,6516.01,0,6781.693499999999,6781.693499999999,6781.693499999999,0,0,0,0.0,59,46.0,13.0,43.95,43.95,43.95
2018-09-06,6697.27,6725.0,6265.0,6516.01,60644.464227,6395.54,0,6777.803333333333,6777.803333333333,6801.106,0,0,0,-0.2057,65,59.0,6.0,44.5,44.666666666666664,44.666666666666664
2018-09-07,6516.84,6544.0,6320.0,6395.54,38906.28805,6185.05,0,6765.903636363637,6765.903636363637,6797.681999999999,0,0,0,0.0,50,65.0,-15.0,45.5,45.59090909090909,45.59090909090909
2018-09-08,6395.54,6478.0,6111.0,6185.05,38215.032171,6250.81,1,6749.800869565218,6749.800869565218,6798.061,0,0,0,0.0,41,50.0,-9.0,45.95,45.78260869565217,45.78260869565217
2018-09-09,6185.06,6441.0,6141.53,6250.81,37053.92382,6312.0,1,6726.269583333334,6726.269583333334,6783.437000000001,0,0,0,0.0,41,41.0,0.0,46.05,45.583333333333336,45.583333333333336
2018-09-10,6252.26,6373.98,6221.0,6312.0,32439.456432,6294.91,0,6707.2512,6707.2512,6783.235500000001,0,0,0,-0.6705,45,41.0,4.0,46.0,45.4,45.4
2018-09-11,6311.99,6404.0,6169.68,6294.91,33104.88859,6338.62,1,6692.049230769231,6692.049230769231,6774.835500000001,0,0,0,1.6756,46,45.0,1.0,45.95,45.38461538461539,45.38461538461539
2018-09-12,6293.0,6360.0,6192.37,6338.62,31433.645939,6487.38,1,6677.340370370371,6677.340370370371,6771.5365,0,0,0,0.126,48,46.0,2.0,45.75,45.407407407407405,45.407407407407405
2018-09-13,6338.62,6535.0,6337.4,6487.38,40465.063107,6476.63,0,6665.243214285714,6665.243214285714,6762.217,0,0,0,-0.2891,47,48.0,-1.0,45.9,45.5,45.5
2018-09-14,6487.39,6584.99,6385.62,6476.63,37173.339277,6514.96,1,6659.11,6659.11,6752.504000000001,0,0,0,0.0,46,47.0,-1.0,46.1,45.55172413793103,45.55172413793103
2018-09-15,6476.63,6565.45,6466.13,6514.96,25243.656612,6505.0,0,6653.027333333333,6653.027333333333,6739.6535,0,0,0,-1.367,37,46.0,-9.0,46.45,45.56666666666667,45.56666666666667
2018-09-16,6514.96,6524.62,6370.0,6505.0,27568.132897,6248.69,0,6648.573548387097,6648.573548387097,6730.4015,0,0,0,0.7506,38,37.0,1.0,46.3,45.29032258064516,45.29032258064516
2018-09-17,6500.08,6533.84,6201.0,6248.69,35987.254738,6336.45,1,6644.086875,6644.086875,6710.219500000001,0,0,0,-1.6252,40,38.0,2.0,46.15,45.0625,45.0625
2018-09-18,6248.69,6390.0,6224.98,6336.45,32620.86667,6391.89,1,6632.105151515151,6632.105151515151,6668.8485,0,0,0,0.6486,41,40.0,1.0,45.45,44.90909090909091,44.90909090909091
2018-09-19,6336.39,6517.7,6123.0,6391.89,39044.080082,6492.0,1,6623.409411764706,6623.409411764706,6634.110000000001,0,0,0,0.8665,43,41.0,2.0,45.3,44.794117647058826,44.794117647058826
2018-09-20,6392.0,6540.0,6325.0,6492.0,25189.024728,6759.02,1,6616.7945714285715,6616.7945714285715,6604.4625,0,0,0,0.8091,40,43.0,-3.0,45.25,44.74285714285714,44.74285714285714
2018-09-21,6492.0,6784.86,6491.0,6759.02,51779.343463,6723.05,0,6613.328055555556,6613.328055555556,6578.502,1,1,1,0.0,45,40.0,5.0,45.1,44.611111111111114,44.611111111111114
2018-09-22,6759.01,6839.03,6627.0,6723.05,29349.690667,6708.0,0,6617.265675675676,6617.265675675676,6556.452500000001,1,1,1,0.3612,40,45.0,-5.0,45.1,44.62162162162162,44.62162162162162
2018-09-23,6723.05,6788.23,6661.75,6708.0,30286.229773,6581.39,0,6620.049473684211,6620.049473684211,6527.5045,1,1,1,0.0,35,40.0,-5.0,45.05,44.5,44.5
2018-09-24,6706.81,6730.0,6557.0,6581.39,35305.73991,6447.54,0,6622.304615384615,6622.304615384615,6499.753500000001,0,1,0,0.0,39,35.0,4.0,44.65,44.256410256410255,44.256410256410255
2018-09-25,6581.42,6584.01,6325.02,6447.54,40301.029452,6465.12,1,6621.28175,6621.28175,6460.870000000001,0,0,0,0.4767,40,39.0,1.0,44.3,44.125,44.125
2018-09-26,6445.11,6557.99,6379.7,6465.12,33484.54207,6689.13,1,6617.044146341464,6617.044146341464,6448.246999999999,0,1,0,0.0,41,40.0,1.0,43.35,44.02439024390244,44.02439024390244
2018-09-27,6467.84,6750.0,6434.0,6689.13,33087.428297,6634.58,0,6613.426904761905,6613.426904761905,6445.7025,1,1,1,-0.5423,44,41.0,3.0,42.15,43.95238095238095,43.95238095238095
2018-09-28,6689.12,6814.8,6540.88,6634.58,42399.448523,6596.38,0,6615.187441860465,6615.187441860465,6460.382,1,1,1,0.0,37,44.0,-7.0,41.85,43.95348837209303,43.95348837209303
2018-09-29,6634.58,6636.0,6464.57,6596.38,30255.9597,6626.57,1,6615.628181818182,6615.628181818182,6482.8585,0,1,0,0.0,34,37.0,-3.0,41.65,43.79545454545455,43.79545454545455
2018-09-30,6597.66,6662.0,6533.0,6626.57,27764.724519,6611.61,0,6615.200444444445,6615.200444444445,6500.137000000001,1,1,1,0.0,35,34.0,1.0,41.3,43.577777777777776,43.577777777777776
2018-10-01,6626.57,6667.09,6510.0,6611.61,20621.506894,6525.79,0,6615.447608695653,6615.447608695653,6515.8655,0,1,0,0.0,35,35.0,0.0,40.8,43.391304347826086,43.391304347826086
2018-10-02,6610.0,6640.0,6494.0,6525.79,28245.810088,6510.0,0,6615.365957446808,6615.365957446808,6531.7005,0,0,0,0.0,39,35.0,4.0,40.25,43.212765957446805,43.212765957446805
2018-10-03,6525.79,6549.0,6430.0,6510.0,28451.969138,6593.79,1,6613.499791666666,6613.499791666666,6541.059,0,0,0,0.9951,37,39.0,-2.0,39.8,43.125,43.125
2018-10-04,6510.01,6643.46,6505.09,6593.79,20074.300818,6635.65,1,6611.387551020408,6611.387551020408,6542.1900000000005,0,1,0,0.0,41,37.0,4.0,39.3,43.0,43.0
2018-10-05,6591.69,6697.0,6543.08,6635.65,16096.552392,6594.27,0,6611.0356,6611.0356,6548.048,1,1,1,0.936,36,41.0,-5.0,39.05,42.96,42.96
2018-10-06,6635.65,6651.0,6566.77,6594.27,10939.505391,6615.26,1,6617.5136,6611.518235294117,6554.0824999999995,0,1,0,0.0,33,36.0,-3.0,39.0,42.72,42.8235294117647
2018-10-07,6596.44,6640.0,6525.0,6615.26,17406.831762,6673.01,1,6617.7092,6611.1865384615385,6558.546,0,1,1,0.051100000000000034,31,33.0,-2.0,38.75,42.48,42.63461538461539
2018-10-08,6615.26,6715.6,6587.0,6673.01,23123.419541,6656.61,0,6622.2552000000005,6611.263396226415,6576.8745,1,1,1,0.0,38,31.0,7.0,38.3,42.28,42.41509433962264
2018-10-09,6673.01,6685.38,6607.0,6656.61,15354.779469,6631.0,0,6626.164800000001,6612.4068518518525,6593.702500000001,1,1,1,0.0,38,38.0,0.0,38.15,42.26,42.333333333333336
2018-10-10,6656.67,6659.95,6530.0,6631.0,15390.661444,6252.68,0,6634.2002,6613.210545454545,6606.938500000001,0,1,1,0.0,39,38.0,1.0,37.9,42.18,42.25454545454546
2018-10-11,6630.21,6633.92,6205.0,6252.68,48712.400332,6298.01,1,6637.2202,6613.528214285715,6613.888500000001,0,0,0,-0.4767,49,39.0,10.0,37.85,42.04,42.19642857142857
2018-10-12,6252.71,6360.0,6209.0,6298.01,29004.071419,6332.93,1,6635.056,6607.197543859649,6588.5715,0,0,0,-0.06909999999999994,42,49.0,-7.0,38.05,42.02,42.31578947368421
2018-10-13,6298.0,6345.0,6285.07,6332.93,19098.070025,6339.34,1,6630.5160000000005,6601.866724137932,6567.3195000000005,0,0,0,0.8004,33,42.0,-9.0,38.15,41.96,42.310344827586206
2018-10-14,6332.92,6416.0,6308.0,6339.34,15627.411314,6752.5,1,6623.541800000001,6597.308474576272,6548.566000000001,0,0,0,0.3612,34,33.0,1.0,38.05,41.76,42.152542372881356
2018-10-15,6339.34,7680.0,6300.0,6752.5,90748.031246,6759.27,1,6615.6557999999995,6593.009,6536.4635,1,1,1,-0.5813999999999999,43,34.0,9.0,37.8,41.66,42.016666666666666
2018-10-16,6752.5,6900.0,6670.0,6759.27,27557.957764,6740.89,0,6616.7058,6595.623606557377,6551.7115,1,1,1,0.0,38,43.0,-5.0,37.95,41.72,42.032786885245905
2018-10-17,6762.76,6811.12,6676.01,6740.89,26641.431379,6618.96,0,6613.7184,6598.263064516129,6566.419,1,1,1,0.0,36,38.0,-2.0,37.8,41.66,41.96774193548387
2018-10-18,6739.01,6796.0,6567.0,6618.96,20116.521941,6528.88,0,6607.014,6600.526984126985,6569.0070000000005,1,1,1,0.7808,38,36.0,2.0,37.4,41.3,41.87301587301587
2018-10-19,6618.96,6648.14,6523.0,6528.88,20772.60077,6588.4,1,6598.7688,6600.8150000000005,6568.226000000001,0,0,0,0.0,35,38.0,-3.0,37.45,41.18,41.8125
2018-10-20,6528.88,6617.65,6505.55,6588.4,19240.722247,6590.11,1,6589.6496,6599.708307692307,6564.851,0,1,0,0.915,34,35.0,-1.0,37.5,41.0,41.707692307692305
2018-10-21,6585.72,6663.9,6580.0,6590.11,6515.357792,6581.2,0,6581.1934,6599.53696969697,6562.9425,1,1,0,0.0,31,34.0,-3.0,37.45,40.82,41.59090909090909
2018-10-22,6590.12,6639.0,6535.27,6581.2,16213.69266,6553.51,0,6568.995399999999,6599.3962686567165,6561.8675,1,1,0,0.0,36,31.0,5.0,37.25,40.54,41.43283582089552
2018-10-23,6581.2,6595.0,6515.45,6553.51,13856.601756,6565.5,1,6554.5792,6599.128676470588,6564.638000000001,0,0,0,-0.8472999999999999,37,36.0,1.0,37.1,40.44,41.35294117647059
2018-10-24,6553.51,6630.0,6547.53,6565.5,11951.543977,6528.09,0,6540.389,6598.467536231884,6566.813499999999,1,0,0,0.9915,36,37.0,-1.0,37.1,40.32,41.289855072463766
2018-10-25,6566.81,6575.09,6502.8,6528.09,10342.701244,6538.63,1,6524.5178000000005,6597.996571428572,6565.399,1,0,0,0.0,43,36.0,7.0,36.85,40.12,41.214285714285715
2018-10-26,6528.13,6600.0,6515.01,6538.63,9443.504156,6505.6,0,6521.0796,6597.011971830985,6560.020999999999,1,0,0,0.8677,35,43.0,-8.0,37.2,39.8,41.23943661971831
2018-10-27,6538.63,6558.35,6463.04,6505.6,7776.907864,6489.93,0,6521.531999999999,6596.201111111111,6557.239,0,0,0,0.1926,29,35.0,-6.0,37.3,39.2,41.15277777777778
2018-10-28,6505.6,6514.17,6453.0,6489.93,5743.933728,6344.5,0,6523.733200000001,6594.96,6551.755999999999,0,0,0,1.1233,32,29.0,3.0,37.2,38.78,40.986301369863014
2018-10-29,6489.93,6505.01,6315.0,6344.5,13827.224067,6330.87,0,6529.8308,6593.540675675676,6542.602000000001,0,0,0,0.0,37,32.0,5.0,36.9,38.6,40.86486486486486
2018-10-30,6344.5,6395.0,6317.01,6330.87,8877.175385,6371.93,1,6531.7046,6590.220133333333,6526.9965,0,0,0,0.0,36,37.0,-1.0,36.85,38.52,40.81333333333333
2018-10-31,6330.01,6428.0,6245.02,6371.93,12148.888216,6410.0,1,6532.081999999999,6586.807631578948,6511.99,0,0,0,0.9632000000000001,36,36.0,0.0,36.7,38.34,40.75
2018-11-01,6369.52,6442.65,6348.66,6410.0,9099.035841,6433.98,1,6533.6224,6584.017012987013,6517.9525,0,0,0,0.0,39,36.0,3.0,36.05,38.14,40.688311688311686
2018-11-02,6410.0,6460.34,6388.2,6433.98,9739.440679,6387.09,0,6535.05,6581.786025641026,6523.552000000001,0,0,0,0.0,36,39.0,-3.0,35.9,37.96,40.666666666666664
2018-11-03,6432.8,6439.97,6345.0,6387.09,7661.241476,6485.85,1,6533.982,6579.915063291139,6528.6045,0,0,0,0.1511,34,36.0,-2.0,36.05,37.74,40.607594936708864
2018-11-04,6388.0,6525.0,6359.0,6485.85,10592.394943,6468.99,0,6532.1912,6577.50475,6530.992,0,0,0,0.0,35,34.0,1.0,36.05,37.5,40.525
2018-11-05,6485.85,6504.39,6431.02,6468.99,8987.882156,6519.11,1,6531.6089999999995,6576.373209876543,6517.6595,0,0,0,0.0,39,35.0,4.0,35.65,37.46,40.45679012345679
2018-11-06,6468.99,6531.31,6445.18,6519.11,11926.565699,6578.46,1,6530.8888,6575.063658536585,6503.1455000000005,0,1,0,0.0499,41,39.0,2.0,35.7,37.48,40.4390243902439
2018-11-07,6522.73,6615.15,6509.0,6578.46,14271.591117,6479.84,0,6536.2972,6574.389518072288,6492.0565,1,1,1,0.0,36,41.0,-5.0,35.95,37.5,40.44578313253012
2018-11-08,6578.46,6594.0,6468.22,6479.84,13259.789282,6419.99,0,6541.1374,6574.437976190477,6490.0315,0,0,0,1.0933000000000002,34,36.0,-2.0,35.85,37.4,40.392857142857146
2018-11-09,6479.84,6511.53,6391.01,6419.99,11787.616583,6433.05,1,6542.8964000000005,6573.32505882353,6487.5795,0,0,0,0.4767,36,34.0,2.0,35.8,37.22,40.31764705882353
2018-11-10,6419.99,6475.55,6411.0,6433.05,7714.829926,6449.81,1,6541.4562,6571.542093023256,6479.159000000001,0,0,0,-0.5267,33,36.0,-3.0,35.9,37.14,40.26744186046512
2018-11-11,6435.16,6462.14,6355.0,6449.81,8213.507117,6453.07,1,6534.9367999999995,6569.9502298850575,6471.306,0,0,0,-0.7424,31,33.0,-2.0,36.0,36.9,40.18390804597701
2018-11-12,6450.71,6497.0,6421.0,6453.07,10132.782567,6457.66,1,6529.472,6568.585,6464.736500000001,0,0,0,-0.6468,35,31.0,4.0,35.75,36.72,40.07954545454545
2018-11-13,6451.68,6498.0,6391.15,6457.66,11790.564933,5922.41,0,6524.3733999999995,6567.287078651686,6459.7145,0,0,0,0.0,37,35.0,2.0,35.65,36.72,40.02247191011236
2018-11-14,6458.98,6482.84,5656.87,5922.41,46478.964003,5753.4,0,6521.8988,6566.0689999999995,6454.3225,0,0,0,0.0,57,37.0,20.0,35.7,36.68,39.98888888888889
2018-11-15,5917.2,5939.54,5403.42,5753.4,47700.829401,5655.94,0,6511.3962,6558.995824175824,6424.038500000001,0,0,0,-0.34,69,57.0,12.0,36.4,37.02,40.175824175824175
2018-11-16,5757.09,5782.89,5549.25,5655.94,38721.802274,5628.29,0,6497.161800000001,6550.239347826087,6384.777,0,0,0,-1.0405,53,69.0,-16.0,38.1,37.58,40.48913043478261
2018-11-17,5650.57,5656.6,5565.43,5628.29,26411.241413,5662.0,1,6476.4980000000005,6540.623225806451,6342.294,0,0,0,-0.9764,42,53.0,-11.0,39.3,37.76,40.623655913978496
2018-11-18,5630.49,5738.17,5617.0,5662.0,23844.999347,4910.03,0,6456.3722,6530.91755319149,6299.2119999999995,0,0,0,-0.714,50,42.0,8.0,39.8,37.86,40.638297872340424
2018-11-19,5661.94,5664.0,4855.0,4910.03,70580.892856,4558.86,0,6437.6846,6521.771052631579,6265.0869999999995,0,0,0,0.5588,69,50.0,19.0,40.45,38.18,40.73684210526316
2018-11-20,4913.4,5048.24,4326.0,4558.86,117380.95159,4661.07,1,6403.3538,6504.982083333333,6194.045,0,0,0,-0.854,100,69.0,31.0,42.1,38.86,41.03125
2018-11-21,4559.91,4787.2,4413.85,4661.07,61071.829475,4370.0,0,6362.2988000000005,6484.918969072165,6103.3915,0,0,0,1.1994,79,100.0,-21.0,45.3,40.16,41.63917525773196
2018-11-22,4661.08,4721.77,4335.0,4370.0,34531.119143,4420.61,1,6325.004400000001,6466.308265306122,6015.945,0,0,0,0.0,55,79.0,-24.0,47.3,40.96,42.02040816326531
2018-11-23,4370.9,4484.0,4222.94,4420.61,49371.920322,3932.44,0,6282.2044000000005,6445.133434343434,5912.746,0,0,0,-0.8889,59,55.0,4.0,48.25,41.32,42.15151515151515
2018-11-24,4415.63,4527.0,3824.69,3932.44,61693.111006,4085.78,1,6238.7408,6424.888199999999,5814.4220000000005,0,0,0,0.6164000000000001,51,59.0,-8.0,49.5,41.68,42.32
2018-11-25,3933.68,4233.0,3652.66,4085.78,101693.975588,3862.2,0,6184.676600000001,6401.0951000000005,5686.7515,0,0,0,0.24049999999999994,84,51.0,33.0,50.3,41.98,42.35
2018-11-26,4088.69,4206.0,3701.0,3862.2,94504.865717,3875.21,1,6134.506799999999,6376.108,5567.591,0,0,0,1.081,79,84.0,-5.0,52.55,43.0,42.74
2018-11-27,3864.45,3940.0,3689.12,3875.21,67480.607212,4264.85,1,6079.445599999999,6350.8504,5434.7455,0,0,0,0.10919999999999996,79,79.0,0.0,54.45,43.96,43.12
2018-11-28,3875.63,4394.47,3874.27,4264.85,91983.567949,4295.84,1,6023.4896,6324.8272,5299.583,0,0,0,0.2714,69,79.0,-10.0,56.6,44.78,43.52
2018-11-29,4262.06,4450.38,4125.65,4295.84,73980.198669,4041.32,0,5975.654399999999,6304.927300000001,5188.8335,0,0,0,-0.5106999999999999,59,69.0,-10.0,58.35,45.4,43.79
2018-11-30,4295.72,4341.36,3943.0,4041.32,67758.446283,4190.02,1,5928.9511999999995,6283.0857000000005,5082.625999999999,0,0,0,1.359,52,59.0,-7.0,59.5,45.8,43.92
2018-12-01,4041.27,4299.99,3963.01,4190.02,44840.073481,4161.01,0,5884.724,6259.89,4963.039500000001,0,0,0,-0.5023,45,52.0,-7.0,60.45,45.86,43.94
2018-12-02,4190.98,4312.99,4103.04,4161.01,38912.15479,3884.01,0,5842.564199999999,6236.5401,4850.05,0,0,0,1.5641,44,45.0,-1.0,61.15,45.92,43.94
2018-12-03,4160.55,4179.0,3827.0,3884.01,49094.369163,3951.64,1,5799.1258,6211.3338,4735.447,0,0,0,0.3696,53,44.0,9.0,61.6,46.14,43.95
2018-12-04,3884.76,4085.0,3781.0,3951.64,48489.551613,3769.84,0,5750.019200000001,6182.8375,4606.764499999999,0,0,0,-1.7570999999999999,51,53.0,-2.0,62.4,46.52,44.09
2018-12-05,3950.98,3970.0,3745.0,3769.84,44004.799448,3508.75,0,5694.002,6155.3539,4508.226,0,0,0,0.0,49,51.0,-2.0,62.1,46.68,44.2
2018-12-06,3768.44,3899.99,3500.0,3508.75,68378.796943,3403.55,0,5634.2134,6123.965899999999,4409.048000000001,0,0,0,-0.0898000000000001,50,49.0,1.0,61.1,46.9,44.28
2018-12-07,3508.75,3549.99,3224.6,3403.55,95145.457442,3410.93,1,5569.570599999999,6088.2923,4301.6885,0,0,0,0.0,75,50.0,25.0,60.95,47.18,44.24
2018-12-08,3403.57,3495.0,3222.0,3410.93,55365.949949,3545.37,1,5505.2624,6052.015600000001,4190.4515,0,0,0,-0.48299999999999993,50,75.0,-25.0,62.6,47.92,44.55
2018-12-09,3411.36,3658.0,3394.04,3545.37,45956.893296,3432.88,0,5442.903400000001,6016.276499999999,4077.898,0,0,0,0.0,46,50.0,-4.0,62.6,48.22,44.61
2018-12-10,3548.49,3610.0,3370.11,3432.88,40989.244553,3380.39,0,5382.0428,5981.6181,4009.665,0,0,0,-0.3682,49,46.0,3.0,61.45,48.46,44.64
2018-12-11,3434.01,3480.0,3324.32,3380.39,35920.864154,3445.0,1,5318.8982000000005,5943.9468,3953.3660000000004,0,0,0,-0.25,50,49.0,1.0,58.9,48.82,44.68
2018-12-12,3379.23,3492.0,3350.0,3445.0,33922.931286,3302.06,0,5254.882,5904.730599999999,3889.332,0,0,0,0.0,48,50.0,-2.0,57.45,49.1,44.77
2018-12-13,3446.38,3460.0,3255.5,3302.06,40040.917013,3224.17,0,5192.7118,5866.550399999999,3843.082,0,0,0,0.0,49,48.0,1.0,57.1,49.32,44.82
2018-12-14,3302.06,3335.39,3177.0,3224.17,44492.983807,3211.72,0,5127.443,5825.9804,3787.1544999999996,0,0,0,-0.8934,51,49.0,2.0,56.6,49.58,44.85
2018-12-15,3225.19,3276.5,3156.26,3211.72,29796.041436,3228.67,1,5061.3646,5791.2221,3751.7409999999995,0,0,0,0.0,48,51.0,-3.0,56.6,49.74,44.77
2018-12-16,3211.71,3294.0,3186.0,3228.67,24628.808538,3509.08,1,4994.8264,5758.1792000000005,3708.0379999999996,0,0,0,-1.0796000000000001,44,48.0,-4.0,54.8,50.0,44.6
2018-12-17,3229.22,3585.0,3216.0,3509.08,66762.216388,3652.98,1,4929.2878,5726.510499999999,3676.3615,0,0,0,0.769,55,44.0,11.0,53.05,50.3,44.54
2018-12-18,3509.03,3678.59,3424.47,3652.98,61369.615257,3662.22,1,4869.6708,5699.750800000001,3658.0550000000003,0,0,0,0.5334,54,55.0,-1.0,51.85,50.76,44.68
2018-12-19,3653.0,3912.73,3622.55,3662.22,94137.341014,4049.62,1,4815.8404,5673.7725,3627.4615,0,1,0,0.38680000000000003,58,54.0,4.0,51.1,51.1,44.81
2018-12-20,3660.01,4120.0,3635.0,4049.62,101543.835986,3838.66,0,4762.4673999999995,5647.2747,3595.7805,0,1,0,0.12899999999999995,60,58.0,2.0,51.05,51.54,44.94
2018-12-21,4051.86,4139.99,3764.0,3838.66,82343.850112,3948.91,1,4716.0212,5624.8218,3596.1955000000003,0,1,0,1.5428,50,60.0,-10.0,51.45,52.02,45.08
2018-12-22,3840.25,3979.0,3785.0,3948.91,42822.350872,3929.71,0,4664.5944,5599.8222,3578.6274999999996,0,1,0,2.2426,43,50.0,-7.0,51.7,52.24,45.1
2018-12-23,3948.91,4021.53,3870.0,3929.71,40117.531529,4008.01,1,4614.893,5574.4375,3568.0225,0,1,0,0.8016,43,43.0,0.0,51.65,52.38,45.06
2018-12-24,3929.71,4198.0,3924.83,4008.01,64647.809129,3745.79,0,4565.7454,5548.9683,3570.3075000000003,0,1,0,1.4542000000000002,51,43.0,8.0,51.15,52.56,45.03
2018-12-25,4010.11,4020.0,3646.41,3745.79,62725.629432,3777.74,1,4516.1885999999995,5523.8988,3573.126,0,1,0,0.0,44,51.0,-7.0,51.15,52.88,45.17
2018-12-26,3745.56,3837.15,3656.74,3777.74,42629.375817,3567.91,0,4461.7246000000005,5496.306699999999,3571.9235,0,1,0,0.0,45,44.0,1.0,50.9,52.98,45.23
2018-12-27,3777.74,3813.98,3535.0,3567.91,44097.392912,3839.26,1,4406.897199999999,5471.597200000001,3585.3729999999996,0,0,0,0.0,43,45.0,-2.0,50.65,53.06,45.28
2018-12-28,3567.89,3887.25,3540.04,3839.26,45964.304987,3695.32,0,4346.6862,5443.911799999999,3593.5910000000003,0,1,0,-0.5983,44,43.0,1.0,49.05,53.2,45.3
2018-12-29,3839.0,3892.0,3670.0,3695.32,38874.373903,3801.91,1,4293.8746,5418.385499999999,3615.0074999999997,0,1,0,1.2564,44,44.0,0.0,48.75,53.4,45.31
2018-12-30,3696.71,3903.5,3657.9,3801.91,33222.369262,3702.9,0,4239.3812,5390.4187,3622.505,0,1,0,-0.7721,39,44.0,-5.0,48.65,53.56,45.35
2018-12-31,3803.12,3810.0,3630.33,3702.9,29991.77835,3797.14,1,4186.7584,5360.8476,3640.9565000000002,0,1,0,-0.4767,38,39.0,-1.0,48.15,53.68,45.29
2019-01-01,3701.23,3810.16,3642.0,3797.14,23741.687033,3858.56,1,4131.820199999999,5330.6461,3657.082,0,1,0,1.3953,42,38.0,4.0,47.55,53.82,45.27
2019-01-02,3796.45,3882.14,3750.45,3858.56,35156.463369,3766.78,0,4078.7016,5301.5375,3674.689,0,1,0,0.0,42,42.0,0.0,47.25,53.96,45.34
2019-01-03,3857.57,3862.74,3730.0,3766.78,29406.948359,3792.01,1,4026.7196000000004,5274.309200000001,3702.514,0,1,0,2.051,42,42.0,0.0,46.9,54.06,45.37
